date,ARIMA,UCM,ML
2017-12-01 00:00:00,26093.766936352,26631.545522961,25616.419435054
2017-12-01 00:10:00,25960.5241886651,26631.545522961,25616.419435054
2017-12-01 00:20:00,25855.1051267874,26631.545522961,25616.419435054
2017-12-01 00:30:00,25725.5451955079,26631.545522961,25616.419435054
2017-12-01 00:40:00,25346.2536106319,26271.7161804296,25270.8742595903
2017-12-01 00:50:00,24983.4718754265,25911.8868378981,24925.3290841266
2017-12-01 01:00:00,24648.2386811061,25552.0574953666,24579.7839086629
2017-12-01 01:10:00,24308.0198698139,25192.2281528351,24234.2387331991
2017-12-01 01:20:00,23982.7784249866,24832.3988103036,23888.6935577354
2017-12-01 01:30:00,23667.5254555769,24472.5694677722,23543.1483822717
2017-12-01 01:40:00,23467.1497682085,24264.2219396538,23385.5977159824
2017-12-01 01:50:00,23301.6860078822,24055.8744115354,23228.0470496931
2017-12-01 02:00:00,23102.9963301698,23847.526883417,23070.4963834038
2017-12-01 02:10:00,22916.1261293596,23639.1793552986,22912.9457171145
2017-12-01 02:20:00,22731.473987722,23430.8318271802,22755.3950508252
2017-12-01 02:30:00,22558.7383894344,23222.4842990619,22597.8443845359
2017-12-01 02:40:00,22443.6051418508,23082.9023326863,22479.700621301
2017-12-01 02:50:00,22335.0834964275,22943.3203663108,22361.556858066
2017-12-01 03:00:00,22179.7020654153,22803.7383999352,22243.4130948311
2017-12-01 03:10:00,22068.3321192124,22664.1564335597,22125.2693315962
2017-12-01 03:20:00,21941.7490924444,22524.5744671841,22007.1255683612
2017-12-01 03:30:00,21814.6373094477,22384.9925008085,21888.9818051263
2017-12-01 03:40:00,21768.9992312,22337.703672739,21868.4960894774
2017-12-01 03:50:00,21767.0145831428,22290.4148446695,21848.0103738284
2017-12-01 04:00:00,21752.1791403846,22243.1260165999,21827.5246581795
2017-12-01 04:10:00,21722.7858156942,22195.8371885304,21807.0389425306
2017-12-01 04:20:00,21673.6500742658,22148.5483604608,21786.5532268817
2017-12-01 04:30:00,21685.7532966595,22101.2595323913,21766.0675112327
2017-12-01 04:40:00,21803.9947157988,22198.5470913191,21941.1051667334
2017-12-01 04:50:00,21929.7087016986,22295.8346502469,22116.1428222342
2017-12-01 05:00:00,22031.2904306721,22393.1222091748,22291.1804777349
2017-12-01 05:10:00,22129.9238260536,22490.4097681026,22466.2181332356
2017-12-01 05:20:00,22192.8840018623,22587.6973270305,22641.2557887363
2017-12-01 05:30:00,22359.6468868,22684.9848859583,22816.293444237
2017-12-01 05:40:00,22415.0910926543,22618.9481677266,22808.8125539961
2017-12-01 05:50:00,22360.573090676,22552.911449495,22801.3316637552
2017-12-01 06:00:00,22302.8652012308,22486.8747312633,22793.8507735143
2017-12-01 06:10:00,22306.6860362745,22420.8380130317,22786.3698832734
2017-12-01 06:20:00,22296.523008386,22354.8012948,22778.8889930325
2017-12-01 06:30:00,22237.2390138213,22288.7645765684,22771.4081027916
2017-12-01 06:40:00,22181.5756275577,22207.5142590642,22742.386003038
2017-12-01 06:50:00,22075.6912718282,22126.2639415601,22713.3639032845
2017-12-01 07:00:00,22147.0706961889,22045.0136240559,22684.341803531
2017-12-01 07:10:00,22209.8816452543,21963.7633065518,22655.3197037775
2017-12-01 07:20:00,22270.1961152956,21882.5129890476,22626.297604024
2017-12-01 07:30:00,22314.8094742891,21801.2626715435,22597.2755042705
2017-12-01 07:40:00,22693.8998340927,22184.0128566915,23039.3409299879
2017-12-01 07:50:00,23086.2417571318,22566.7630418395,23481.4063557054
2017-12-01 08:00:00,23531.1937221177,22949.5132269875,23923.4717814229
2017-12-01 08:10:00,23995.5889862836,23332.2634121355,24365.5372071404
2017-12-01 08:20:00,24407.8743311488,23715.0135972835,24807.6026328579
2017-12-01 08:30:00,24837.3171653882,24097.7637824315,25249.6680585754
2017-12-01 08:40:00,25317.1078843092,24553.8816568915,25589.2556679495
2017-12-01 08:50:00,25796.8470178183,25009.9995313515,25928.8432773236
2017-12-01 09:00:00,26302.3980578042,25466.1174058116,26268.4308866977
2017-12-01 09:10:00,26754.3465650331,25922.2352802716,26608.0184960718
2017-12-01 09:20:00,27260.992305713,26378.3531547316,26947.6061054459
2017-12-01 09:30:00,27752.107900707,26834.4710291917,27287.19371482
2017-12-01 09:40:00,28133.0054710157,27196.1399114509,27625.7273536963
2017-12-01 09:50:00,28500.1097996302,27557.8087937101,27964.2609925726
2017-12-01 10:00:00,28876.3503022867,27919.4776759693,28302.7946314489
2017-12-01 10:10:00,29298.9177807422,28281.1465582285,28641.3282703251
2017-12-01 10:20:00,29673.49921023,28642.8154404877,28979.8619092014
2017-12-01 10:30:00,30004.7101648337,29004.4843227469,29318.3955480777
2017-12-01 10:40:00,30176.6231365427,29269.7758773888,29602.8586871684
2017-12-01 10:50:00,30388.6396424848,29535.0674320306,29887.321826259
2017-12-01 11:00:00,30595.1736805815,29800.3589866725,30171.7849653496
2017-12-01 11:10:00,30803.357373281,30065.6505413143,30456.2481044402
2017-12-01 11:20:00,30964.2219759522,30330.9420959562,30740.7112435308
2017-12-01 11:30:00,31122.7347792236,30596.233650598,31025.1743826215
2017-12-01 11:40:00,31087.7985949735,30767.5283020978,31096.0328103407
2017-12-01 11:50:00,31020.3769644004,30938.8229535975,31166.8912380599
2017-12-01 12:00:00,31011.0329427814,31110.1176050973,31237.7496657791
2017-12-01 12:10:00,31013.0743110467,31281.412256597,31308.6080934982
2017-12-01 12:20:00,31015.3556006956,31452.7069080967,31379.4665212174
2017-12-01 12:30:00,30949.8241734165,31624.0015595965,31450.3249489366
2017-12-01 12:40:00,31013.8334501494,31604.398459516,31525.5368386844
2017-12-01 12:50:00,31114.9633377137,31584.7953594355,31600.7487284323
2017-12-01 13:00:00,31164.500858324,31565.192259355,31675.9606181801
2017-12-01 13:10:00,31220.2240170225,31545.5891592745,31751.1725079279
2017-12-01 13:20:00,31250.299163399,31525.986059194,31826.3843976757
2017-12-01 13:30:00,31291.8658218159,31506.3829591135,31901.5962874235
2017-12-01 13:40:00,31132.9550565874,31312.0141007305,31751.2019554911
2017-12-01 13:50:00,31002.8719280127,31117.6452423476,31600.8076235587
2017-12-01 14:00:00,30856.9063487006,30923.2763839646,31450.4132916264
2017-12-01 14:10:00,30764.0951974659,30728.9075255817,31300.018959694
2017-12-01 14:20:00,30666.1379624022,30534.5386671988,31149.6246277616
2017-12-01 14:30:00,30552.3437023033,30340.1698088158,30999.2302958293
2017-12-01 14:40:00,30556.1783112735,30302.4169539899,30981.1921439452
2017-12-01 14:50:00,30541.9361926862,30264.664099164,30963.1539920612
2017-12-01 15:00:00,30523.096514572,30226.9112443382,30945.1158401772
2017-12-01 15:10:00,30523.1547725422,30189.1583895123,30927.0776882932
2017-12-01 15:20:00,30480.3693438216,30151.4055346864,30909.0395364092
2017-12-01 15:30:00,30483.1948349981,30113.6526798605,30891.0013845252
2017-12-01 15:40:00,30544.7867881356,30189.7928395664,30887.835033737
2017-12-01 15:50:00,30594.0711585704,30265.9329992723,30884.6686829489
